2023-05-15T09:01:19.428285300,50000
2023-05-15T09:27:31.269897500,50000
2023-05-15T09:27:50.664140500,50000
2023-05-15T11:33:03.460728,60000
2023-05-15T11:39:46.091876800,50000
2023-05-15T13:38:41.084001700,50000
2023-05-15T13:46:50.421339100,50000
2023-05-16T08:44:33.856859900,50000
2023-05-16T08:50:23.108616500,60000
2023-05-16T09:33:16.621987600,60000
2023-05-16T09:35:39.730873300,60000
2023-05-16T09:51:41.588682,60000
2023-05-16T10:05:32.532622500,60000
2023-05-16T10:28:39.764188600,60000
2023-05-16T10:28:53.515449200,60000
2023-05-16T10:29:04.630880800,60000
2023-05-16T10:29:25.039441900,60000
2023-05-16T10:29:36.746424600,60000
2023-05-16T11:01:00.119198200,60000
2023-05-16T11:02:38.894298200,60000
2023-05-16T14:09:01.713661,120000
2023-05-16T14:13:26.917382100,60000
2023-05-17T08:37:36.053392,120000
2023-05-17T08:38:15.264741500,120000
